kelas,hari,tanggal,mata_kuliah,waktu
1ka01,Jum'at,01 Agustus 2025,Teori Organisasi Umum,09.15 - 10.15
1ka01,Sabtu,02 Agustus 2025,Teknologi Kecerdasan Artifisial,09.15 - 10.15
1ka01,Senin,04 Agustus 2025,Matematika Dasar 2,15.30 - 16.30
1ka01,Selasa,05 Agustus 2025,Bahasa Indonesia,09.15 - 10.15
1ka01,Rabu,06 Agustus 2025,Pendidikan Kewarganegaraan,13.00 - 14.00
1ka01,Kamis,07 Agustus 2025,Pendidikan Agama Buddha,09.15 - 10.15
1ka01,Kamis,07 Agustus 2025,Pendidikan Agama Hindu,09.15 - 10.15
1ka01,Kamis,07 Agustus 2025,Pendidikan Agama Islam,09.15 - 10.15
1ka01,Kamis,07 Agustus 2025,Pendidikan Agama Katholik,09.15 - 10.15
1ka01,Kamis,07 Agustus 2025,Pendidikan Agama Khonghucu,09.15 - 10.15
1ka01,Kamis,07 Agustus 2025,Pendidikan Agama Kristen,09.15 - 10.15
1ka02,Jum'at,01 Agustus 2025,Teori Organisasi Umum,09.15 - 10.15
1ka02,Sabtu,02 Agustus 2025,Teknologi Kecerdasan Artifisial,09.15 - 10.15
1ka02,Senin,04 Agustus 2025,Matematika Dasar 2,15.30 - 16.30
1ka02,Selasa,05 Agustus 2025,Bahasa Indonesia,09.15 - 10.15
1ka02,Rabu,06 Agustus 2025,Pendidikan Kewarganegaraan,13.00 - 14.00
1ka02,Kamis,07 Agustus 2025,Pendidikan Agama Buddha,09.15 - 10.15
1ka02,Kamis,07 Agustus 2025,Pendidikan Agama Hindu,09.15 - 10.15
1ka02,Kamis,07 Agustus 2025,Pendidikan Agama Islam,09.15 - 10.15
1ka02,Kamis,07 Agustus 2025,Pendidikan Agama Katholik,09.15 - 10.15
1ka02,Kamis,07 Agustus 2025,Pendidikan Agama Khonghucu,09.15 - 10.15
1ka02,Kamis,07 Agustus 2025,Pendidikan Agama Kristen,09.15 - 10.15
1ka03,Jum'at,01 Agustus 2025,Teori Organisasi Umum,09.15 - 10.15
1ka03,Sabtu,02 Agustus 2025,Teknologi Kecerdasan Artifisial,09.15 - 10.15
1ka03,Senin,04 Agustus 2025,Matematika Dasar 2,15.30 - 16.30
1ka03,Selasa,05 Agustus 2025,Bahasa Indonesia,09.15 - 10.15
1ka03,Rabu,06 Agustus 2025,Pendidikan Kewarganegaraan,13.00 - 14.00
1ka03,Kamis,07 Agustus 2025,Pendidikan Agama Buddha,09.15 - 10.15
1ka03,Kamis,07 Agustus 2025,Pendidikan Agama Hindu,09.15 - 10.15
1ka03,Kamis,07 Agustus 2025,Pendidikan Agama Islam,09.15 - 10.15
1ka03,Kamis,07 Agustus 2025,Pendidikan Agama Katholik,09.15 - 10.15
